"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C17,C19","47uF","~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","3",""
"C3,C5","22pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C4,C6,C8,C9,C16,C18,C20,C23","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"DID1","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Gotek:SODFL2512X90N","1",""
"J1","TSM-107-01-L-SH","http://suddendocs.samtec.com/prints/tsm-1xx-xx-xxx-xx-x-xxx-x-mkt.pdf","Gotek:TSM-107-01-L-SH","1",""
"J4","TSM-105-04-S-DV","https://componentsearchengine.com/Datasheets/1/TSM-105-04-S-DV.pdf","Gotek:TSM-105-04-S-DV","1",""
"J5","TSM-104-04-S-DV","http://suddendocs.samtec.com/prints/tsm-1xx-xx-xxx-xx-x-xxx-x-mkt.pdf","Gotek:TSM-104-04-S-DV","1",""
"J7,J8","TSM-103-01-L-DH-TR","http://suddendocs.samtec.com/prints/tsm-1xx-xx-xxx-xx-xx-xxx-xx-mkt1.pdf","Gotek:TSM-103-01-L-DH-TR","2",""
"L3,L4","LED GREEN","~","Gotek:APT2012PGW","2",""
"L5","LED RED","https://docs.broadcom.com/doc/AV02-0975EN","Gotek:HSMCC177","1",""
"P1","2005280260","2005280260","Gotek:MOLEX_CON_2005280260","1",""
"P3","USB_A","https://gct.co/files/drawings/usb1046.pdf?v=ccb5d20d-0631-4297-aa3c-9c34fccf9fbc","Gotek:USB1046GF0190LBA","1",""
"PU1,PU2,PU3,PU4,PU5,PU6,PU7,PU8,PU9,PU10,PU11,PU12,PU13,PU14,R20,RN1,RN2,RN3,RN4,RN5,RN6","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","21",""
"Q1,Q2,Q3,Q4,Q5,Q6","PMBT2222A,215","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","Gotek:SOT95P280X130-3N","6",""
"R1,R2","22R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10,R13","4K7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R21","12K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"S3,S4","1188E-1K2-V-T_R","http://www.dip.com.tw/en/en-product-information/en-switch004/item/2445-1188?highlight=WzExODhd","Gotek:1188E1K2VTR","2",""
"U1","74AHC04","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","1",""
"U3","AT32F435RGT7","","Gotek:QFP50P1200X1200X160-64N","1",""
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Gotek:SOT229P700X180-4N","1",""
"U8","SST25VF016B-50-4C-S2AF","https://ww1.microchip.com/downloads/en/DeviceDoc/20005044C.pdf","Gotek:SOIC127P790X216-8N","1",""
"Y1","8Mhz","https://componentsearchengine.com/Datasheets/1/LFXTAL050985Bulk.pdf","Gotek:LFXTAL050985Bulk","1",""
